# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1700030415.80396 -0.036512 0.005098 0.027502 0.023438 0.000566 -0.999709 0.005700 0.0010530400 0.0000000522 -0.0000000350 0.0010527262 -0.0000000056 0.0010526879 0.0605304770 -0.0000003271 0.0001662084 0.0605329917 -0.0000422408 0.0304820190
1700030415.87136 -0.033419 0.031343 0.069664 0.020839 0.003966 -0.999773 0.001728 0.0001971514 0.0000005723 0.0000022106 0.0001992307 0.0000031465 0.0004373188 0.0062005513 -0.0000048892 0.0000433997 0.0061603419 -0.0000018983 0.0061623861
1700030415.93877 -0.045257 0.035845 0.069442 -0.010602 0.003090 0.999938 0.001241 0.0002000500 0.0000005917 0.0000030206 0.0002024352 0.0000015575 0.0004414723 0.0062106617 -0.0000055179 0.0000448323 0.0061706571 -0.0000026409 0.0061733842
1700030416.00619 -0.069932 0.038795 0.088178 -0.003332 0.007970 0.999961 0.001901 0.0001924513 -0.0000001059 0.0000060806 0.0001961482 0.0000037591 0.0004374727 0.0062311396 -0.0000121533 0.0000600712 0.0061654033 -0.0000055268 0.0061766230
1700030416.07354 -0.079265 0.035627 0.111742 0.002036 0.013220 0.999905 0.003234 0.0001921556 0.0000008006 0.0000093739 0.0001951186 0.0000059950 0.0004381254 0.0062273586 -0.0000120538 0.0000546210 0.0061752368 -0.0000056950 0.0061803278
1700030416.14036 -0.107937 0.035567 0.137781 -0.012628 0.022012 0.999664 0.005304 0.0001868867 -0.0000018149 0.0000027334 0.0001904639 0.0000100027 0.0004412294 0.0062372008 -0.0000115331 0.0000589703 0.0061801112 -0.0000060027 0.0061871969
1700030416.20682 -0.133040 0.032163 0.149120 -0.012981 0.019557 0.999700 0.006981 0.0001893431 -0.0000028252 0.0000025654 0.0001922643 0.0000095829 0.0004444727 0.0062446625 0.0000046597 0.0000602178 0.0061979303 -0.0000000070 0.0062052400
1700030416.27327 -0.161013 0.025935 0.163826 -0.015829 0.018189 0.999705 0.002990 0.0001925464 -0.0000030674 0.0000022445 0.0001957602 0.0000086849 0.0004484624 0.0063262084 0.0000120756 0.0000745993 0.0062648019 0.0000019555 0.0062686438
1700030416.33973 -0.183852 0.023467 0.156877 -0.019056 0.017221 0.999670 0.000309 0.0001856025 0.0000014406 -0.0000011598 0.0001965825 0.0000085677 0.0004522849 0.0064497760 -0.0000385492 0.0001104803 0.0062902105 -0.0000167053 0.0062972812
1700030416.40617 -0.204743 0.021559 0.146626 0.017720 -0.016913 -0.999700 0.000378 0.0001793291 -0.0000035166 -0.0000001348 0.0001850025 0.0000092799 0.0004563259 0.0063861253 0.0000008122 0.0001068907 0.0062605846 -0.0000019026 0.0062785333
1700030416.47261 -0.232202 0.014617 0.144250 0.017929 -0.008913 -0.999799 0.000730 0.0001772748 -0.0000037891 0.0000007291 0.0001815259 0.0000054994 0.0004606495 0.0063598218 0.0000058333 0.0000980322 0.0062609853 0.0000014711 0.0062738136
1700030416.53905 -0.263610 0.007626 0.147112 -0.024369 -0.009525 0.999655 0.002201 0.0001808447 -0.0000040973 -0.0000022840 0.0001852344 -0.0000039085 0.0004651988 0.0064103106 0.0000157751 0.0001187379 0.0062864914 0.0000064278 0.0063003938
1700030416.60548 -0.282079 0.015304 0.154089 -0.017419 -0.010142 0.999794 0.002363 0.0001741503 -0.0000048989 0.0000014974 0.0001787649 -0.0000038711 0.0004692369 0.0063541161 0.0000107877 0.0000954249 0.0062768066 0.0000052733 0.0062795835
1700030416.67191 -0.313479 0.017292 0.150239 -0.025890 -0.011366 0.999582 0.006038 0.0001777531 -0.0000052786 -0.0000018588 0.0001826455 -0.0000038819 0.0004740218 0.0063849731 0.0000194324 0.0001022209 0.0063054868 0.0000090587 0.0063016119
1700030416.73833 -0.348833 0.020069 0.144344 -0.032432 -0.016791 0.999253 0.012628 0.0001816762 -0.0000056665 -0.0000048422 0.0001867315 -0.0000068439 0.0004787761 0.0064690100 0.0000305077 0.0001144446 0.0063837504 0.0000143470 0.0063669980
1700030416.80475 -0.366755 0.050187 0.125877 -0.027522 -0.012270 0.999424 0.015591 0.0001715697 -0.0000060970 -0.0000041462 0.0001778654 -0.0000068190 0.0004835324 0.0064513189 0.0000389565 0.0001338754 0.0063503379 0.0000213352 0.0063494152
1700030416.87116 -0.394075 0.066174 0.118477 -0.024102 0.004398 0.999588 0.014946 0.0001751963 -0.0000067680 0.0000002930 0.0001809642 0.0000065368 0.0004887666 0.0064858445 0.0000701703 0.0001531446 0.0063842914 0.0000369408 0.0063790527
1700030416.93757 -0.424555 0.076024 0.104568 -0.034617 0.014125 0.999128 0.018588 0.0001793011 -0.0000075025 -0.0000054314 0.0001856206 0.0000126070 0.0004936908 0.0065917453 0.0001052456 0.0001909472 0.0064687655 0.0000562972 0.0064584174
1700030417.00398 -0.454234 0.086102 0.111922 -0.032485 0.012898 0.999251 0.016578 0.0001749414 -0.0000009926 -0.0000049599 0.0001827338 0.0000138588 0.0004980394 0.0065011730 -0.0000604730 0.0001516274 0.0064337974 -0.0000361047 0.0063610766
1700030417.07038 -0.494353 0.080283 0.108322 -0.040224 0.008972 0.999066 0.012970 0.0001702136 -0.0000038708 -0.0000098135 0.0001802523 0.0000115410 0.0005032211 0.0064837145 -0.0000067084 0.0001480042 0.0063928098 -0.0000119853 0.0063667201
1700030417.13671 -0.537709 0.075513 0.103830 -0.046760 0.001425 0.998857 0.009766 0.0001715098 -0.0000016648 -0.0000144619 0.0001823169 0.0000054614 0.0005089612 0.0065580620 -0.0000453722 0.0001761256 0.0064372282 -0.0000306950 0.0063876802
