# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1700030415.39969 0.057070 0.005994 0.021187 0.005830 0.007467 -0.999950 0.003289 0.0005675037 0.0000000192 -0.0000011145 0.0005675025 -0.0000013680 0.0006626113 0.8273148922 -0.0000001585 -0.0008893878 0.8273169239 -0.0000808483 0.2956200802
1700030415.46705 0.049035 0.014979 0.064101 0.009483 0.010154 -0.999894 0.004272 0.0002198870 -0.0000163360 -0.0000061361 0.0002382268 -0.0000064067 0.0006748530 0.1141221434 0.0391787729 0.0317390319 0.0910250675 0.0235275910 0.0758829888
1700030415.53442 -0.005640 -0.024291 0.051041 0.006166 0.008543 -0.999937 0.003795 0.0001926127 0.0000032694 0.0000052579 0.0002004837 -0.0000160278 0.0006298550 0.0643392410 0.0020235642 0.0021499073 0.0619733785 0.0012666144 0.0576240605
1700030415.60180 -0.047844 -0.070648 0.037827 0.009386 0.004198 -0.999940 0.003791 0.0001669964 -0.0000002430 0.0000220160 0.0001942948 -0.0000051162 0.0006020511 0.0614387625 0.0006018354 0.0009134270 0.0597677188 0.0003895516 0.0570038564
1700030415.66918 -0.072691 -0.077260 0.033964 0.012696 0.001298 -0.999902 0.005806 0.0001674816 0.0000004138 0.0000173938 0.0001917672 -0.0000038508 0.0005955138 0.0609022551 0.0004920908 0.0007860117 0.0595507457 0.0003047577 0.0569411918
1700030415.73656 -0.089106 -0.079652 0.032181 0.015067 -0.002408 -0.999859 0.006996 0.0001710001 0.0000008513 0.0000173826 0.0001975863 -0.0000011860 0.0006037345 0.0607819033 0.0004875151 0.0007739342 0.0594696473 0.0002945925 0.0569486727
1700030415.80396 -0.106918 -0.070416 0.033880 0.017340 -0.007787 -0.999781 0.008709 0.0001753699 0.0000012067 0.0000170339 0.0002037606 0.0000038120 0.0006127300 0.0607369926 0.0004914678 0.0007882932 0.0594478344 0.0002816708 0.0570310413
1700030415.87136 -0.114144 -0.059804 0.036342 0.005016 -0.015591 -0.999820 0.009581 0.0001683230 0.0000003428 0.0000243505 0.0001998146 0.0000065198 0.0006149178 0.0606718314 0.0004779134 0.0008256622 0.0593831683 0.0002848148 0.0569972873
1700030415.93877 -0.140321 -0.011720 0.021817 -0.003520 -0.021324 -0.999750 0.005677 0.0001663676 -0.0000002217 0.0000335421 0.0001876301 0.0000082809 0.0006112031 0.0604128339 0.0005392427 0.0007576377 0.0592140270 0.0003256738 0.0569271485
1700030416.00619 -0.180259 -0.026859 0.040631 -0.012169 -0.028497 -0.999519 0.001030 0.0001624185 0.0000035012 0.0000388135 0.0001865538 0.0000113113 0.0006130897 0.0603196576 0.0004841980 0.0007348587 0.0590392983 0.0003065326 0.0569218904
