# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1700030415.803959608078003,0.00742,0.00047,0.00050,0.00000,0.00000,0.00155,0.00994
1700030415.871361255645752,0.00592,0.00032,0.00307,0.00000,0.00269,0.00147,0.01347
1700030415.938769817352295,0.00708,0.00032,0.00012,0.00011,0.00000,0.00200,0.00963
1700030416.006185054779053,0.00706,0.00033,0.00025,0.00021,0.00000,0.00219,0.01004
1700030416.073535203933716,0.00725,0.00044,0.00049,0.00015,0.00016,0.00298,0.01148
1700030416.140360116958618,0.00646,0.00029,0.00005,0.00016,0.00000,0.00187,0.00884
1700030416.206819534301758,0.00759,0.00042,0.00032,0.00008,0.00000,0.00179,0.01021
1700030416.273274660110474,0.00776,0.00038,0.00015,0.00005,0.00016,0.00250,0.01099
1700030416.339725255966187,0.00381,0.00023,0.00003,0.00008,0.00011,0.00187,0.00614
1700030416.406171083450317,0.00560,0.00036,0.00013,0.00018,0.00000,0.00276,0.00903
1700030416.472612619400024,0.00623,0.00048,0.00003,0.00028,0.00000,0.00372,0.01073
1700030416.539049386978149,0.00667,0.00043,0.00068,0.00003,0.00000,0.00178,0.00958
1700030416.605481386184692,0.00693,0.00029,0.00051,0.00014,0.00039,0.00213,0.01039
1700030416.671909093856812,0.00706,0.00034,0.00110,0.00004,0.00430,0.00096,0.01381
1700030416.738332033157349,0.00769,0.00034,0.00057,0.00000,0.00055,0.00199,0.01113
1700030416.804750442504883,0.00491,0.00029,0.00040,0.00013,0.00150,0.00215,0.00937
1700030416.871164560317993,0.00782,0.00044,0.00036,0.00004,0.00064,0.00153,0.01083
1700030416.937573671340942,0.00667,0.00027,0.00022,0.00003,0.00029,0.00172,0.00920
1700030417.003978490829468,0.00714,0.00030,0.00027,0.00000,0.00026,0.00201,0.00997
1700030417.070378780364990,0.00755,0.00046,0.00070,0.00011,0.00047,0.00281,0.01209
1700030417.136712074279785,0.00700,0.00036,0.00013,0.00011,0.00000,0.00276,0.01036
1700030417.203898191452026,0.00748,0.00027,0.00059,0.00003,0.00000,0.00199,0.01036
1700030417.271088600158691,0.00695,0.00031,0.00060,0.00010,0.00000,0.00247,0.01043
1700030417.338284015655518,0.00683,0.00042,0.00017,0.00014,0.00000,0.00186,0.00942
1700030417.405483722686768,0.00581,0.00037,0.00029,0.00010,0.00054,0.00282,0.00993
1700030417.472688198089600,0.00658,0.00027,0.00040,0.00008,0.00502,0.00198,0.01433
1700030417.539897203445435,0.00951,0.00048,0.00165,0.00014,0.00000,0.00201,0.01379
1700030417.607110977172852,0.00902,0.00073,0.00036,0.00005,0.00026,0.00155,0.01198
1700030417.674329280853271,0.00789,0.00043,0.00063,0.00016,0.00149,0.00148,0.01208
1700030417.741552591323853,0.00499,0.00032,0.00058,0.00012,0.00000,0.00243,0.00843
1700030417.808780193328857,0.00600,0.00030,0.00055,0.00004,0.00049,0.00228,0.00966
1700030417.876012563705444,0.00623,0.00051,0.00135,0.00005,0.00000,0.00264,0.01078
1700030417.943249464035034,0.00583,0.00030,0.00053,0.00000,0.00041,0.00212,0.00918
1700030418.010490894317627,0.00801,0.00021,0.00025,0.00006,0.00000,0.00163,0.01016
1700030418.077737331390381,0.00520,0.00036,0.00032,0.00010,0.00000,0.00259,0.00856
1700030418.144988298416138,0.00794,0.00039,0.00057,0.00002,0.00000,0.00162,0.01054
1700030418.211922407150269,0.00966,0.00021,0.00032,0.00006,0.00086,0.00159,0.01271
1700030418.279016733169556,0.00576,0.00036,0.00020,0.00003,0.00475,0.00210,0.01319
1700030418.346114158630371,0.00510,0.00032,0.00016,0.00000,0.00012,0.00226,0.00796
1700030418.413215160369873,0.00519,0.00032,0.00031,0.00010,0.00078,0.00236,0.00905
1700030418.480319023132324,0.00835,0.00023,0.00054,0.00002,0.00025,0.00172,0.01111
1700030418.547425985336304,0.00706,0.00030,0.00074,0.00002,0.00080,0.00179,0.01071
1700030418.614536285400391,0.00460,0.00024,0.00030,0.00000,0.00025,0.00180,0.00720
1700030418.681649684906006,0.00758,0.00024,0.00040,0.00002,0.00000,0.00181,0.01006
1700030418.748766183853149,0.00598,0.00036,0.00004,0.00005,0.00042,0.00282,0.00967
1700030418.815885782241821,0.00730,0.00035,0.00038,0.00000,0.00022,0.00217,0.01043
1700030418.883008718490601,0.00643,0.00036,0.00039,0.00002,0.00000,0.00180,0.00900
1700030418.950134754180908,0.00584,0.00042,0.00058,0.00008,0.00033,0.00200,0.00925
1700030419.017263889312744,0.00918,0.00044,0.00032,0.00005,0.00056,0.00124,0.01180
1700030419.084395885467529,0.00906,0.00026,0.00053,0.00003,0.00335,0.00168,0.01491
1700030419.151531457901001,0.00723,0.00038,0.00025,0.00000,0.00015,0.00235,0.01035
1700030419.218990325927734,0.00686,0.00030,0.00059,0.00000,0.00263,0.00217,0.01255
1700030419.285211563110352,0.00543,0.00032,0.00045,0.00000,0.00000,0.00223,0.00844
1700030419.351424932479858,0.00597,0.00029,0.00025,0.00000,0.00192,0.00222,0.01065
1700030419.417630434036255,0.00574,0.00029,0.00045,0.00000,0.00019,0.00225,0.00892
1700030419.483827352523804,0.00463,0.00024,0.00026,0.00000,0.00000,0.00179,0.00693
1700030419.550016641616821,0.00844,0.00037,0.00090,0.00000,0.00040,0.00154,0.01166
1700030419.616197586059570,0.00791,0.00028,0.00031,0.00000,0.00000,0.00229,0.01080
1700030419.682370185852051,0.00741,0.00041,0.00064,0.00000,0.00018,0.00169,0.01034
1700030419.748534917831421,0.00618,0.00047,0.00080,0.00000,0.00130,0.00218,0.01092
1700030419.814691305160522,0.00737,0.00029,0.00115,0.00000,0.00074,0.00177,0.01131
1700030419.880839824676514,0.00582,0.00029,0.00013,0.00000,0.00318,0.00246,0.01189
1700030419.946979999542236,0.00486,0.00038,0.00029,0.00000,0.00000,0.00278,0.00832
1700030420.013112068176270,0.00908,0.00048,0.00055,0.00000,0.00146,0.00141,0.01298
1700030420.079236030578613,0.00428,0.00024,0.00055,0.00000,0.00024,0.00181,0.00713
1700030420.145352125167847,0.00539,0.00023,0.00024,0.00000,0.00130,0.00187,0.00903
1700030420.211422681808472,0.00489,0.00029,0.00051,0.00000,0.00019,0.00188,0.00775
1700030420.277641057968140,0.00442,0.00027,0.00023,0.00000,0.00000,0.00175,0.00668
1700030420.343851327896118,0.00579,0.00032,0.00044,0.00000,0.00114,0.00190,0.00959
1700030420.410053730010986,0.00711,0.00023,0.00061,0.00000,0.00000,0.00180,0.00975
1700030420.476247787475586,0.00602,0.00028,0.00027,0.00000,0.00000,0.00220,0.00878
1700030420.542433738708496,0.00626,0.00035,0.00015,0.00000,0.00099,0.00249,0.01025
1700030420.608611822128296,0.00942,0.00035,0.00018,0.00000,0.00116,0.00191,0.01302
1700030420.674781799316406,0.00458,0.00026,0.00074,0.00000,0.00255,0.00242,0.01054
1700030420.740943670272827,0.00622,0.00043,0.00035,0.00000,0.00112,0.00225,0.01036
1700030420.807097434997559,0.00587,0.00043,0.00023,0.00000,0.00174,0.00298,0.01125
1700030420.873242855072021,0.00828,0.00041,0.00017,0.00000,0.00111,0.00322,0.01319
1700030420.939380645751953,0.00732,0.00027,0.00024,0.00000,0.00122,0.00213,0.01119
1700030421.005510091781616,0.00495,0.00029,0.00061,0.00000,0.00048,0.00202,0.00835
1700030421.071631431579590,0.00731,0.00029,0.00033,0.00000,0.00000,0.00243,0.01035
1700030421.137744903564453,0.00569,0.00038,0.00026,0.00000,0.00351,0.00164,0.01148
1700030421.203813076019287,0.00720,0.00031,0.00019,0.00000,0.00000,0.00257,0.01027
1700030421.270029783248901,0.00609,0.00034,0.00040,0.00000,0.00000,0.00268,0.00951
1700030421.336238861083984,0.00652,0.00037,0.00046,0.00000,0.00097,0.00263,0.01095
1700030421.402439594268799,0.00650,0.00032,0.00065,0.00000,0.00073,0.00260,0.01080
1700030421.468632459640503,0.00823,0.00036,0.00035,0.00000,0.00248,0.00148,0.01290
1700030421.534817457199097,0.00656,0.00036,0.00047,0.00000,0.00000,0.00298,0.01036
1700030421.600994110107422,0.00636,0.00038,0.00124,0.00000,0.00118,0.00309,0.01225
1700030421.667162895202637,0.00528,0.00031,0.00121,0.00000,0.00114,0.00179,0.00974
1700030421.733323812484741,0.00483,0.00023,0.00017,0.00000,0.00008,0.00187,0.00719
1700030421.799476385116577,0.00691,0.00032,0.00065,0.00000,0.00128,0.00254,0.01170
1700030421.865621089935303,0.00678,0.00046,0.00056,0.00000,0.00000,0.00334,0.01114
1700030421.931757926940918,0.00836,0.00023,0.00018,0.00000,0.00139,0.00162,0.01178
1700030421.997886419296265,0.00712,0.00047,0.00069,0.00000,0.00000,0.00234,0.01062
1700030422.064007043838501,0.00417,0.00029,0.00026,0.00000,0.00000,0.00215,0.00687
1700030422.130119562149048,0.00644,0.00039,0.00053,0.00000,0.00073,0.00285,0.01094
1700030422.196187734603882,0.00718,0.00028,0.00064,0.00000,0.00126,0.00215,0.01151
1700030422.262404441833496,0.00428,0.00023,0.00094,0.00000,0.00186,0.00192,0.00923
1700030422.328613519668579,0.00843,0.00026,0.00100,0.00000,0.00000,0.00209,0.01178
1700030422.394814729690552,0.00629,0.00025,0.00040,0.00000,0.00026,0.00187,0.00906
1700030422.461007833480835,0.00695,0.00045,0.00025,0.00000,0.00163,0.00232,0.01160
1700030422.527192831039429,0.00708,0.00032,0.00069,0.00000,0.00012,0.00258,0.01079
1700030422.593370199203491,0.00528,0.00033,0.00016,0.00000,0.00183,0.00255,0.01015
1700030422.659539461135864,0.00612,0.00044,0.00121,0.00000,0.00119,0.00343,0.01239
1700030422.725700855255127,0.00826,0.00024,0.00078,0.00000,0.00205,0.00191,0.01324
1700030422.791854143142700,0.00583,0.00028,0.00062,0.00004,0.00000,0.00213,0.00890
1700030422.857999801635742,0.00719,0.00026,0.00179,0.00009,0.00000,0.00207,0.01141
1700030422.924137353897095,0.01037,0.00032,0.00074,0.00010,0.00034,0.00260,0.01446
1700030422.990266799926758,0.00593,0.00035,0.00043,0.00010,0.00051,0.00259,0.00991
1700030423.056388616561890,0.00506,0.00042,0.00034,0.00008,0.00721,0.00233,0.01544
1700030423.122502326965332,0.00739,0.00027,0.00091,0.00007,0.00000,0.00212,0.01077
1700030423.188572168350220,0.00966,0.00021,0.00017,0.00019,0.00015,0.00165,0.01202
1700030423.254790544509888,0.00600,0.00036,0.00036,0.00038,0.00080,0.00257,0.01046
1700030423.321000814437866,0.00474,0.00025,0.00018,0.00020,0.00008,0.00186,0.00732
1700030423.387203216552734,0.00521,0.00032,0.00065,0.00022,0.00190,0.00294,0.01124
1700030423.453397989273071,0.00864,0.00022,0.00061,0.00009,0.00021,0.00169,0.01146
1700030423.519584655761719,0.00682,0.00031,0.00084,0.00003,0.00121,0.00219,0.01139
1700030423.585763692855835,0.00780,0.00033,0.00005,0.00021,0.00004,0.00197,0.01040
1700030423.639916896820068,0.00327,0.00018,0.00039,0.00011,0.00042,0.00158,0.00595
1700030423.706050157546997,0.00750,0.00039,0.00063,0.00021,0.00079,0.00288,0.01241
1700030423.772175073623657,0.00690,0.00026,0.00032,0.00015,0.00083,0.00205,0.01050
1700030423.838291406631470,0.00735,0.00028,0.00116,0.00015,0.00268,0.00211,0.01373
1700030423.904400825500488,0.00662,0.00026,0.00013,0.00021,0.00000,0.00217,0.00939
1700030423.970502614974976,0.00435,0.00026,0.00049,0.00020,0.00096,0.00204,0.00831
1700030424.036596536636353,0.00684,0.00031,0.00044,0.00029,0.00035,0.00231,0.01056
1700030424.102682352066040,0.00603,0.00030,0.00201,0.00018,0.00010,0.00221,0.01084
1700030424.168760538101196,0.00948,0.00024,0.00028,0.00014,0.00278,0.00191,0.01483
1700030424.234892845153809,0.00814,0.00027,0.00028,0.00029,0.00009,0.00218,0.01125
1700030424.301073551177979,0.00706,0.00034,0.00143,0.00033,0.00348,0.00170,0.01434
1700030424.367247343063354,0.00590,0.00037,0.00082,0.00059,0.00134,0.00290,0.01192
1700030424.433413505554199,0.00464,0.00032,0.00033,0.00060,0.00000,0.00227,0.00816
1700030424.499572038650513,0.00678,0.00028,0.00081,0.00052,0.00126,0.00212,0.01176
1700030424.565722703933716,0.00819,0.00049,0.00340,0.00101,0.00397,0.00101,0.01808
1700030424.631865739822388,0.00733,0.00035,0.00110,0.00089,0.00261,0.00180,0.01408
1700030424.698000907897949,0.00674,0.00036,0.00033,0.00089,0.00000,0.00193,0.01024
1700030424.764127731323242,0.00831,0.00022,0.00020,0.00052,0.00000,0.00175,0.01100
1700030424.830247402191162,0.00615,0.00041,0.00147,0.00049,0.00033,0.00214,0.01099
1700030424.896359682083130,0.00665,0.00027,0.00058,0.00041,0.00966,0.00141,0.01898
1700030424.962463855743408,0.00696,0.00046,0.00136,0.00249,0.00052,0.00138,0.01317
1700030425.028560638427734,0.00992,0.00040,0.00124,0.00078,0.00004,0.00143,0.01380
1700030425.094649553298950,0.00729,0.00039,0.00012,0.00056,0.00055,0.00150,0.01040
1700030425.160729885101318,0.00595,0.00043,0.00034,0.00116,0.00000,0.00229,0.01017
1700030425.227025985717773,0.00858,0.00029,0.00063,0.00059,0.00323,0.00204,0.01536
1700030425.308249235153198,0.00601,0.00039,0.00183,0.00050,0.00024,0.00170,0.01067
1700030425.375658273696899,0.00896,0.00037,0.00024,0.00044,0.00020,0.00173,0.01194
1700030425.443079471588135,0.00725,0.00028,0.00060,0.00032,0.00150,0.00173,0.01168
1700030425.510513544082642,0.00872,0.00041,0.00123,0.00025,0.00371,0.00139,0.01572
1700030425.577960252761841,0.00796,0.00024,0.00039,0.00042,0.00000,0.00166,0.01065
1700030425.645419597625732,0.00508,0.00022,0.00147,0.00016,0.00027,0.00162,0.00883
