# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1699334490.244316339492798,0.01317,0.00021,0.00403,0.00000,0.00000,0.00120,0.01861
1699334490.311064004898071,0.00970,0.00038,0.00748,0.00000,0.00000,0.00189,0.01945
1699334490.377811431884766,0.00699,0.00041,0.00161,0.00000,0.00000,0.00192,0.01094
1699334490.444559335708618,0.01356,0.00023,0.00010,0.00000,0.00000,0.00227,0.01616
1699334490.511307001113892,0.00781,0.00068,0.00022,0.00000,0.00193,0.00308,0.01372
1699334490.578054428100586,0.00790,0.00047,0.00040,0.00000,0.00000,0.00249,0.01127
1699334490.644802093505859,0.00943,0.00045,0.00051,0.00000,0.00000,0.00336,0.01375
1699334490.711549758911133,0.00437,0.00028,0.00030,0.00000,0.00000,0.00245,0.00741
1699334490.778297424316406,0.00534,0.00038,0.00036,0.00000,0.00000,0.00262,0.00871
1699334490.845045089721680,0.00852,0.00034,0.00040,0.00000,0.00000,0.00259,0.01186
1699334490.911792278289795,0.01100,0.00026,0.00033,0.00000,0.00000,0.00196,0.01355
1699334490.978539943695068,0.00915,0.00046,0.00137,0.00000,0.00433,0.00214,0.01745
1699334491.045287847518921,0.00880,0.00037,0.00049,0.00000,0.00137,0.00201,0.01304
1699334491.112035274505615,0.00541,0.00031,0.00014,0.00000,0.00044,0.00232,0.00862
1699334491.178782939910889,0.00606,0.00040,0.00034,0.00000,0.00000,0.00291,0.00971
1699334491.245529651641846,0.01039,0.00051,0.00052,0.00000,0.00000,0.00346,0.01487
1699334491.312276124954224,0.00888,0.00035,0.00084,0.00000,0.00044,0.00175,0.01226
1699334491.379022598266602,0.01144,0.00028,0.00040,0.00000,0.00022,0.00201,0.01437
1699334491.445769309997559,0.01115,0.00035,0.00066,0.00000,0.00000,0.00223,0.01439
1699334491.512515544891357,0.01208,0.00046,0.00104,0.00000,0.00000,0.00155,0.01514
1699334491.579262256622314,0.01344,0.00019,0.00038,0.00000,0.00000,0.00129,0.01530
1699334491.646008491516113,0.01136,0.00074,0.00168,0.00000,0.00342,0.00161,0.01882
1699334491.712754964828491,0.00745,0.00034,0.00156,0.00003,0.00000,0.00231,0.01169
1699334491.779501199722290,0.00765,0.00024,0.00166,0.00005,0.00159,0.00169,0.01287
1699334491.846247673034668,0.00634,0.00084,0.00190,0.00015,0.00313,0.00119,0.01356
1699334491.912993907928467,0.01248,0.00023,0.00061,0.00004,0.00049,0.00150,0.01534
1699334491.979740142822266,0.01237,0.00026,0.00051,0.00003,0.00010,0.00125,0.01452
1699334492.046486616134644,0.01006,0.00034,0.00048,0.00000,0.00000,0.00217,0.01305
1699334492.113232612609863,0.01101,0.00032,0.00351,0.00000,0.00538,0.00146,0.02169
1699334492.179979085922241,0.01355,0.00029,0.00027,0.00000,0.00102,0.00201,0.01714
1699334492.246725797653198,0.00885,0.00040,0.00058,0.00000,0.00308,0.00220,0.01511
1699334492.313472986221313,0.01289,0.00039,0.00089,0.00000,0.00054,0.00285,0.01756
1699334492.380219936370850,0.00931,0.00033,0.00141,0.00000,0.00000,0.00220,0.01324
1699334492.446966886520386,0.01162,0.00036,0.00121,0.00000,0.00213,0.00247,0.01779
1699334492.513713836669922,0.00870,0.00032,0.00111,0.00000,0.00030,0.00190,0.01234
1699334492.580460786819458,0.00855,0.00037,0.00082,0.00000,0.00157,0.00214,0.01345
1699334492.647207498550415,0.01408,0.00019,0.00038,0.00000,0.00087,0.00130,0.01682
1699334492.713954448699951,0.01439,0.00023,0.00061,0.00000,0.00075,0.00168,0.01767
1699334492.780701398849487,0.00331,0.00020,0.00066,0.00000,0.00147,0.00311,0.00876
1699334492.847448348999023,0.01389,0.00027,0.00072,0.00000,0.00065,0.00181,0.01734
1699334492.914195060729980,0.00642,0.00029,0.00122,0.00000,0.00131,0.00178,0.01101
1699334492.980941772460938,0.01117,0.00031,0.00137,0.00000,0.00123,0.00212,0.01620
1699334493.047688722610474,0.01248,0.00054,0.00178,0.00000,0.00337,0.00175,0.01992
1699334493.114435672760010,0.01023,0.00046,0.00156,0.00000,0.00000,0.00232,0.01457
1699334493.181182384490967,0.01597,0.00026,0.00125,0.00000,0.00101,0.00188,0.02037
1699334493.247929334640503,0.00560,0.00035,0.00119,0.00000,0.00158,0.00238,0.01110
1699334493.314676523208618,0.01355,0.00026,0.00098,0.00000,0.00020,0.00164,0.01663
1699334493.381423711776733,0.00873,0.00038,0.00175,0.00000,0.00078,0.00258,0.01421
1699334493.448170661926270,0.01270,0.00030,0.00175,0.00000,0.00069,0.00192,0.01736
1699334493.514917373657227,0.00471,0.00040,0.00297,0.00000,0.00000,0.00242,0.01051
1699334493.581664562225342,0.01295,0.00032,0.00175,0.00000,0.00030,0.00173,0.01706
1699334493.648411273956299,0.00790,0.00034,0.00128,0.00000,0.00042,0.00214,0.01208
1699334493.715158462524414,0.00946,0.00037,0.00245,0.00000,0.00154,0.00237,0.01619
1699334493.781905174255371,0.01059,0.00051,0.00100,0.00000,0.00234,0.00119,0.01563
1699334493.848652124404907,0.01240,0.00025,0.00069,0.00000,0.00000,0.00185,0.01518
