time,bg,bg.norm,ba,ba.norm,pose.cov
1.70003041580396E+018,-0.00116 -0.00189  0.00596,0.00636,-0.00051  0.00048  0.01474,0.01476,0.06007
1.70003041587136E+018, 0.02074 -0.02292  0.01330,0.03365,0.00107 0.00212 0.01863,0.01878,0.00617
1.70003041593877E+018, 0.02074 -0.02292  0.01330,0.03365,0.00107 0.00212 0.01863,0.01878,0.00619
1.70003041600619E+018, 0.02133 -0.02133  0.01062,0.03198,-0.00016  0.00196  0.01447,0.0146,0.00622
1.70003041607354E+018, 0.02013 -0.02053  0.00742,0.02969,0.00070 0.00142 0.01218,0.01228,0.00621
1.70003041614036E+018, 0.02006 -0.02073  0.00697,0.02967,0.00020 0.00195 0.00846,0.00869,0.00622
1.70003041620682E+018, 0.02092 -0.01995  0.00610,0.02954,0.00024 0.00211 0.00885,0.0091,0.00623
1.70003041627327E+018, 0.02092 -0.01995  0.00610,0.02954,0.00024 0.00211 0.00885,0.0091,0.00632
1.70003041633973E+018, 0.02044 -0.01971  0.00604,0.02903,0.00109 0.00275 0.01327,0.01359,0.00646
1.70003041640617E+018, 0.02005 -0.01950  0.00600,0.02861,0.00195 0.00336 0.01612,0.01658,0.0064
1.70003041647261E+018, 0.01882 -0.02008  0.00629,0.02823,0.00235 0.00364 0.01617,0.01674,0.00637
1.70003041653905E+018, 0.01882 -0.02008  0.00629,0.02823,0.00235 0.00364 0.01617,0.01674,0.00643
1.70003041660548E+018, 0.01907 -0.01940  0.00591,0.02784,0.00299 0.00471 0.01552,0.0165,0.00636
1.70003041667191E+018, 0.01907 -0.01940  0.00591,0.02784,0.00299 0.00471 0.01552,0.0165,0.0064
1.70003041673833E+018, 0.01907 -0.01940  0.00591,0.02784,0.00299 0.00471 0.01552,0.0165,0.00649
1.70003041680475E+018, 0.01769 -0.01880  0.00566,0.02643,0.00412 0.00741 0.02067,0.02234,0.0065
1.70003041687116E+018, 0.01779 -0.01879  0.00568,0.02649,0.00397 0.00749 0.02110,0.02274,0.00657
1.70003041693757E+018, 0.01779 -0.01879  0.00568,0.02649,0.00397 0.00749 0.02110,0.02274,0.00672
1.70003041700398E+018, 0.01781 -0.01923  0.00540,0.02676,0.00386 0.00786 0.01781,0.01984,0.00657
1.70003041707038E+018, 0.01864 -0.01934  0.00521,0.02736,0.00327 0.00654 0.01488,0.01658,0.00653
1.70003041713671E+018, 0.01842 -0.01908  0.00519,0.02702,0.00374 0.00710 0.01481,0.01684,0.00663
1.7000304172039E+018, 0.01794 -0.01858  0.00579,0.02647,0.00485 0.00629 0.01495,0.01693,0.00651
1.70003041727109E+018, 0.01784 -0.01857  0.00577,0.02638,0.00505 0.00623 0.01712,0.0189,0.00657
1.70003041733828E+018, 0.01757 -0.01874  0.00561,0.0263,0.00494 0.00693 0.01420,0.01656,0.00671
1.70003041740548E+018, 0.01717 -0.01816  0.00546,0.02558,0.00592 0.00790 0.01592,0.01873,0.00696
1.70003041747269E+018, 0.01659 -0.01791  0.00527,0.02498,0.00643 0.00923 0.01478,0.01857,0.00732
1.7000304175399E+018, 0.01731 -0.01775  0.00486,0.02526,0.00687 0.01042 0.01452,0.01915,0.00661
1.70003041760711E+018, 0.01837 -0.01800  0.00449,0.02611,0.00674 0.01019 0.01577,0.01995,0.0066
1.70003041767433E+018, 0.01766 -0.01645  0.00562,0.02478,0.00622 0.01158 0.01228,0.01799,0.00653
1.70003041774155E+018, 0.01785 -0.01569  0.00617,0.02455,0.00656 0.01063 0.01352,0.01841,0.00657
1.70003041780878E+018, 0.01862 -0.01594  0.00662,0.02539,0.00706 0.01052 0.01244,0.01776,0.00661
1.70003041787601E+018, 0.01862 -0.01594  0.00662,0.02539,0.00706 0.01052 0.01244,0.01776,0.00671
1.70003041794325E+018, 0.01907 -0.01611  0.00688,0.0259,0.00644 0.00925 0.01365,0.0177,0.00679
1.70003041801049E+018, 0.01821 -0.01640  0.00673,0.02541,0.00512 0.01178 0.01309,0.01834,0.00692
1.70003041807774E+018, 0.01753 -0.01636  0.00654,0.02486,0.00480 0.01392 0.01754,0.0229,0.00714
1.70003041814499E+018, 0.01753 -0.01636  0.00654,0.02486,0.00480 0.01392 0.01754,0.0229,0.00754
1.70003041821192E+018, 0.01688 -0.01659  0.00623,0.02448,0.00416 0.01584 0.01561,0.02262,0.00806
1.70003041827902E+018, 0.01688 -0.01659  0.00623,0.02448,0.00416 0.01584 0.01561,0.02262,0.00883
1.70003041834611E+018, 0.01688 -0.01659  0.00623,0.02448,0.00416 0.01584 0.01561,0.02262,0.00984
1.70003041841322E+018, 0.01677 -0.01632  0.00621,0.02421,0.00448 0.01618 0.01797,0.0246,0.01109
1.70003041848032E+018, 0.01669 -0.01527  0.00625,0.02347,0.00692 0.01666 0.01733,0.02501,0.01113
1.70003041854743E+018, 0.01717 -0.01345  0.00660,0.02279,0.01126 0.01558 0.02021,0.02789,0.01153
1.70003041861454E+018, 0.01686 -0.01274  0.00644,0.02209,0.01429 0.01755 0.01257,0.02589,0.00897
1.70003041868165E+018, 0.01714 -0.01251  0.00648,0.02218,0.01562 0.01683 0.00844,0.02446,0.00856
1.70003041874877E+018, 0.01714 -0.01251  0.00648,0.02218,0.01562 0.01683 0.00844,0.02446,0.00886
1.70003041881589E+018, 0.01714 -0.01251  0.00648,0.02218,0.01562 0.01683 0.00844,0.02446,0.00931
1.70003041888301E+018, 0.01675 -0.01194  0.00647,0.02157,0.01666 0.01847 0.00749,0.02598,0.00991
1.70003041895013E+018, 0.01526 -0.01273  0.00569,0.02067,0.01322 0.02217 0.01248,0.02867,0.00908
1.70003041901726E+018, 0.01530 -0.01286  0.00570,0.02078,0.01294 0.02205 0.01207,0.02827,0.00935
1.7000304190844E+018, 0.01552 -0.01315  0.00548,0.02107,0.01244 0.02302 0.01279,0.02912,0.00875
1.70003041915153E+018, 0.01552 -0.01315  0.00548,0.02107,0.01244 0.02302 0.01279,0.02912,0.0089
1.70003041921899E+018, 0.01552 -0.01315  0.00548,0.02107,0.01244 0.02302 0.01279,0.02912,0.00915
1.70003041928521E+018, 0.01552 -0.01315  0.00548,0.02107,0.01244 0.02302 0.01279,0.02912,0.00953
1.70003041935143E+018, 0.01552 -0.01315  0.00548,0.02107,0.01244 0.02302 0.01279,0.02912,0.01006
1.70003041941763E+018, 0.01470 -0.01286  0.00496,0.02015,0.01279 0.02652 0.01400,0.0326,0.00934
1.70003041948383E+018, 0.01489 -0.01367  0.00508,0.02084,0.01250 0.02719 0.01850,0.03518,0.00947
1.70003041955002E+018, 0.01420 -0.01386  0.00404,0.02025,0.00939 0.02629 0.02513,0.03756,0.00921
1.7000304196162E+018, 0.01420 -0.01386  0.00404,0.02025,0.00939 0.02629 0.02513,0.03756,0.00938
1.70003041968237E+018, 0.01395 -0.01399  0.00378,0.02011,0.00878 0.02641 0.02427,0.03693,0.00957
1.70003041974854E+018, 0.01395 -0.01399  0.00378,0.02011,0.00878 0.02641 0.02427,0.03693,0.00994
1.70003041981469E+018, 0.01438 -0.01343  0.00398,0.02007,0.01077 0.02591 0.02855,0.04003,0.01
1.70003041988084E+018, 0.01438 -0.01343  0.00398,0.02007,0.01077 0.02591 0.02855,0.04003,0.01046
1.70003041994698E+018, 0.01438 -0.01343  0.00398,0.02007,0.01077 0.02591 0.02855,0.04003,0.01112
1.70003042001311E+018, 0.01326 -0.01331  0.00374,0.01916,0.01235 0.02740 0.02114,0.03675,0.01005
1.70003042007924E+018, 0.01283 -0.01166  0.00326,0.01764,0.01573 0.02916 0.02570,0.04193,0.00994
1.70003042014535E+018, 0.01283 -0.01166  0.00326,0.01764,0.01573 0.02916 0.02570,0.04193,0.01041
1.70003042021142E+018, 0.01272 -0.01104  0.00347,0.0172,0.01655 0.02891 0.03343,0.04719,0.01
1.70003042027764E+018, 0.01272 -0.01104  0.00347,0.0172,0.01655 0.02891 0.03343,0.04719,0.01035
1.70003042034385E+018, 0.01272 -0.01104  0.00347,0.0172,0.01655 0.02891 0.03343,0.04719,0.01086
1.70003042041005E+018, 0.01216 -0.01172  0.00351,0.01725,0.01633 0.02862 0.02394,0.04073,0.01001
1.70003042047625E+018, 0.01216 -0.01172  0.00351,0.01725,0.01633 0.02862 0.02394,0.04073,0.01022
1.70003042054243E+018, 0.01147 -0.01187  0.00316,0.01681,0.01546 0.03018 0.02559,0.04248,0.01035
1.70003042060861E+018, 0.01147 -0.01187  0.00316,0.01681,0.01546 0.03018 0.02559,0.04248,0.01057
1.70003042067478E+018, 0.01147 -0.01187  0.00316,0.01681,0.01546 0.03018 0.02559,0.04248,0.01088
1.70003042074094E+018, 0.01147 -0.01187  0.00316,0.01681,0.01546 0.03018 0.02559,0.04248,0.01133
1.7000304208071E+018, 0.01147 -0.01187  0.00316,0.01681,0.01546 0.03018 0.02559,0.04248,0.0121
1.70003042087324E+018, 0.01147 -0.01187  0.00316,0.01681,0.01546 0.03018 0.02559,0.04248,0.01312
1.70003042093938E+018, 0.01147 -0.01187  0.00316,0.01681,0.01546 0.03018 0.02559,0.04248,0.01441
1.70003042100551E+018, 0.01062 -0.01238  0.00287,0.01656,0.01423 0.03239 0.02111,0.0412,0.01582
1.70003042107163E+018, 0.01062 -0.01238  0.00287,0.01656,0.01423 0.03239 0.02111,0.0412,0.01785
1.70003042113774E+018, 0.01062 -0.01238  0.00287,0.01656,0.01423 0.03239 0.02111,0.0412,0.02022
1.70003042120381E+018, 0.01062 -0.01238  0.00287,0.01656,0.01423 0.03239 0.02111,0.0412,0.02307
1.70003042127003E+018, 0.01018 -0.01196  0.00274,0.01594,0.01404 0.03416 0.02706,0.04579,0.02213
1.70003042133624E+018, 0.01018 -0.01196  0.00274,0.01594,0.01404 0.03416 0.02706,0.04579,0.02498
1.70003042140244E+018, 0.00920 -0.01089  0.00250,0.01447,0.01544 0.03657 0.02973,0.0496,0.02363
1.70003042146863E+018, 0.00920 -0.01089  0.00250,0.01447,0.01544 0.03657 0.02973,0.0496,0.02632
1.70003042153482E+018, 0.00928 -0.01037  0.00263,0.01416,0.01881 0.03699 0.01513,0.04417,0.0224
1.70003042160099E+018, 0.00928 -0.01037  0.00263,0.01416,0.01881 0.03699 0.01513,0.04417,0.02452
1.70003042166716E+018, 0.00928 -0.01037  0.00263,0.01416,0.01881 0.03699 0.01513,0.04417,0.027
1.70003042173332E+018, 0.00928 -0.01037  0.00263,0.01416,0.01881 0.03699 0.01513,0.04417,0.02987
1.70003042179948E+018, 0.00928 -0.01037  0.00263,0.01416,0.01881 0.03699 0.01513,0.04417,0.03319
1.70003042186562E+018, 0.00740 -0.00873  0.00189,0.0116,0.02173 0.04367 0.01196,0.05022,0.02027
1.70003042193176E+018, 0.00740 -0.00873  0.00189,0.0116,0.02173 0.04367 0.01196,0.05022,0.02073
1.70003042199789E+018, 0.00740 -0.00873  0.00189,0.0116,0.02173 0.04367 0.01196,0.05022,0.02137
1.70003042206401E+018, 0.00740 -0.00873  0.00189,0.0116,0.02173 0.04367 0.01196,0.05022,0.02214
1.70003042213012E+018, 0.00740 -0.00873  0.00189,0.0116,0.02173 0.04367 0.01196,0.05022,0.02309
1.70003042219619E+018, 0.00740 -0.00873  0.00189,0.0116,0.02173 0.04367 0.01196,0.05022,0.02426
1.7000304222624E+018, 0.00727 -0.00817  0.00193,0.0111,0.02159 0.04416 0.02433,0.05485,0.02209
1.70003042232861E+018, 0.00756 -0.00851  0.00149,0.01149,0.02282 0.04636 0.01539,0.05391,0.02091
1.70003042239481E+018, 0.00756 -0.00851  0.00149,0.01149,0.02282 0.04636 0.01539,0.05391,0.02114
1.70003042246101E+018, 0.00725 -0.00843  0.00135,0.0112,0.02247 0.04708 0.01751,0.05503,0.02137
1.70003042252719E+018, 0.00740 -0.00793  0.00171,0.01098,0.02350 0.04839 0.02026,0.05748,0.02145
1.70003042259337E+018, 0.00713 -0.00743  0.00144,0.0104,0.02514 0.05138 0.01525,0.0592,0.02059
1.70003042265954E+018, 0.00705 -0.00776  0.00228,0.01073,0.02279 0.05313 0.02042,0.06131,0.02067
1.7000304227257E+018, 0.00633 -0.00422  0.00443,0.0088,0.00650 0.04889 0.00957,0.05024,0.02069
1.70003042279185E+018, 0.00539 -0.00499  0.00432,0.00852,0.00790 0.04683 0.01013,0.04856,0.02086
1.700030422858E+018, 0.00526 -0.00395  0.00474,0.00811,0.00885 0.03794 0.02345,0.04547,0.02103
1.70003042292414E+018, 0.00505 -0.00389  0.00443,0.00776,0.00900 0.03910 0.01396,0.04248,0.02102
1.70003042299027E+018, 0.00473 -0.00394  0.00440,0.00756,0.00919 0.03948 0.00818,0.04135,0.02116
1.70003042305639E+018, 0.00327 -0.00291  0.00407,0.00597,-0.00035  0.03210  0.02362,0.03986,0.02114
1.7000304231225E+018, 0.00437 -0.00276  0.00395,0.00651,-0.00259  0.03823  0.02313,0.04476,0.0215
1.70003042318857E+018, 0.00406 -0.00232  0.00420,0.00628,-0.00470  0.04199  0.01145,0.04377,0.02163
1.70003042325479E+018, 0.00412 -0.00250  0.00467,0.00671,-0.00540  0.03761  0.00627,0.03851,0.02181
1.700030423321E+018, 0.00375 -0.00220  0.00479,0.00647,-0.00602  0.03761  0.01095,0.03963,0.02202
1.7000304233872E+018, 0.00391 -0.00236  0.00478,0.00662,-0.00550  0.03584  0.01144,0.03803,0.0222
1.7000304234534E+018, 0.00367 -0.00224  0.00472,0.00638,-0.00567  0.03688  0.01771,0.0413,0.02235
1.70003042351958E+018, 0.00333 -0.00182  0.00464,0.00599,-0.00844  0.03596  0.02575,0.04503,0.02253
1.70003042358576E+018, 0.00317 -0.00199  0.00452,0.00587,-0.00933  0.03747  0.01439,0.04121,0.02273
1.70003042363992E+018, 0.00319 -0.00211  0.00455,0.00594,-0.01002  0.03735  0.00961,0.03984,0.02296
1.70003042370605E+018, 0.00306 -0.00223  0.00460,0.00596,-0.01188  0.03717  0.01503,0.04182,0.02324
1.70003042377218E+018, 0.00308 -0.00222  0.00453,0.00591,-0.01068  0.03736  0.01717,0.04248,0.02359
1.70003042383829E+018, 0.00325 -0.00212  0.00477,0.00615,-0.00755  0.03950  0.01351,0.04242,0.0237
1.7000304239044E+018, 0.00307 -0.00195  0.00472,0.00596,-0.00896  0.03889  0.01313,0.04201,0.02377
1.7000304239705E+018, 0.00318 -0.00223  0.00458,0.006,-0.00834  0.03971  0.01344,0.04274,0.02388
1.7000304240366E+018, 0.00307 -0.00202  0.00461,0.0059,-0.00805  0.04022  0.01125,0.04253,0.02408
1.70003042410268E+018, 0.00293 -0.00202  0.00452,0.00576,-0.00919  0.03855  0.01251,0.04155,0.0242
1.70003042416876E+018, 0.00250 -0.00198  0.00432,0.00536,-0.01189  0.03464  0.01244,0.03868,0.02435
1.70003042423489E+018, 0.00248 -0.00194  0.00423,0.00527,-0.01024  0.03675  0.01705,0.04179,0.02464
1.70003042430107E+018, 0.00227 -0.00185  0.00435,0.00525,-0.01046  0.03436  0.01083,0.03751,0.02472
